Id interne de valorisation;Date;Type;Famille de produit;Code produit;Produit;Param1;Param2;Param3;Description;Prénom utilisateur;Nom utilisateur;Quantité;Prix d'achat;Client/revendeur direct (niv. 1);Réf. client/revendeur direct (niv. 1);Prix d'achat niv. 1 (Prix de revente);Nom client Niveau 2;Ref client Niveau 2;Prix client Niveau 2
17373460673;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-2047-01-M;FTTH Orange 1 Gbps / 800 Mbps;VIA000000087109;PLANCKAERT ET FILS;2024-04-16 00:00:00;;;;1,00;42,00;PLANCKAERT ET FILS;411PLACKAERT;0,00;;;
17373490229;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1037-01-M;FTTH Orange 1 Gb;VIA000000038961;THEYS INVESTISSEMENTS;2022-04-29 00:00:00;;;;1,00;49,00;THEYS INVESTISSEMENTS;411THEYS;0,00;THEYS INVESTISSEMENTS (site principal);411THEYS;0,00
17373534467;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844113587;COMMUNE DE PREMESQUES;2024-04-02 14:35:43;;;;1,00;39,00;COMMUNE DE PREMESQUES;411PREMESQUES;0,00;;;
17373607418;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844115075;THEYS INVESTISSEMENTS;2024-04-17 14:36:12;;;;1,00;39,00;THEYS INVESTISSEMENTS;411THEYS;0,00;THEYS INVESTISSEMENTS (site principal);411THEYS;0,00
17373749594;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844048232;ACCUEIL FRATERNEL ROUBAISIEN;2022-03-24 12:39:31;;;;1,00;39,00;ACCUEIL FRATERNEL ROUBAISIEN;411AFRSIEGE;0,00;AFR - VILLON;411AFRVILLON;0,00
17373892583;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844061181;COMMUNE DE PRESMESQUES;2022-08-31 11:04:00;;;;1,00;39,00;COMMUNE DE PREMESQUES;411PREMESQUES;0,00;;;
17373895331;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844061186;COMMUNE DE MAROEUIL;2022-09-06 21:54:26;;;;1,00;39,00;COMMUNE DE MAROEUIL;411COMMAROEUIL;0,00;;;
17373898394;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844061213;COMMUNE DE MAROEUIL;2022-09-15 10:48:08;;;;1,00;39,00;COMMUNE DE MAROEUIL;411COMMAROEUIL;0,00;;;
17373899022;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844061222;LE MAILLON;2022-09-07 10:58:39;;;;1,00;39,00;LE MAILLON C2RI;411LEMAILC2RI;0,00;;;
17373934500;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844156900;CORNILLE SA;2025-03-27 10:26:14;;;;1,00;39,00;CORNILLE SA;411CORNILLE;0,00;;;
